year,state,month,number,date,,,,
2010,Mnt,Jan,0,1/1/2010,,,,
2011,Mnt,Jan,0,1/1/2011,,,,
2012,Mnt,Jan,0,1/1/2012,,,,
2013,Mnt,Jan,0,1/1/2013,,,,
2014,Mnt,Jan,0,1/1/2014,,,,
2015,Mnt,Jan,0,1/1/2015,,,,
2016,Mnt,Jan,0,1/1/2016,,,,
2017,Mnt,Jan,0,1/1/2017,,,,
2018,Mnt,Jan,0,1/1/2018,,,,
2019,Mnt,Jan,0,1/1/2019,,,,
2010,Mnt,Feb,0,1/1/2010,,,,
2011,Mnt,Feb,0,1/1/2011,,,,
2012,Mnt,Feb,6,1/1/2012,,,,
2013,Mnt,Feb,0,1/1/2013,,,,
2014,Mnt,Feb,9,1/1/2014,,,,
2015,Mnt,Feb,74,1/1/2015,,,,
2016,Mnt,Feb,0,1/1/2016,,,,
2017,Mnt,Feb,0,1/1/2017,,,,
2018,Mnt,Feb,0,1/1/2018,,,,
2019,Mnt,Feb,33,1/1/2019,,,,
2010,Mnt,Mar,0,1/1/2010,,,,
2011,Mnt,Mar,356,1/1/2011,,,,
2012,Mnt,Mar,358,1/1/2012,,,,
2013,Mnt,Mar,12,1/1/2013,,,,
2014,Mnt,Mar,2686,1/1/2014,,,,
2015,Mnt,Mar,4600,1/1/2015,,,,
2016,Mnt,Mar,225,1/1/2016,,,,
2017,Mnt,Mar,0,1/1/2017,,,,
2018,Mnt,Mar,975,1/1/2018,,,,
2019,Mnt,Mar,270,1/1/2019,,,,
2010,Mnt,Apr,494,1/1/2010,,,,
2011,Mnt,Apr,5165,1/1/2011,,,,
2012,Mnt,Apr,10827,1/1/2012,,,,
2013,Mnt,Apr,1712,1/1/2013,,,,
2014,Mnt,Apr,2609,1/1/2014,,,,
2015,Mnt,Apr,14841,1/1/2015,,,,
2016,Mnt,Apr,1062,1/1/2016,,,,
2017,Mnt,Apr,1451,1/1/2017,,,,
2018,Mnt,Apr,435,1/1/2018,,,,
2019,Mnt,Apr,2457,1/1/2019,,,,
2010,Mnt,May,2392,1/1/2010,,,,
2011,Mnt,May,1288,1/1/2011,,,,
2012,Mnt,May,22378,1/1/2012,,,,
2013,Mnt,May,5016,1/1/2013,,,,
2014,Mnt,May,198,1/1/2014,,,,
2015,Mnt,May,3629,1/1/2015,,,,
2016,Mnt,May,1837,1/1/2016,,,,
2017,Mnt,May,1047,1/1/2017,,,,
2018,Mnt,May,900,1/1/2018,,,,
2019,Mnt,May,1637,1/1/2019,,,,
2010,Mnt,Jun,1813,1/1/2010,,,,
2011,Mnt,Jun,5089,1/1/2011,,,,
2012,Mnt,Jun,1323,1/1/2012,,,,
2013,Mnt,Jun,303,1/1/2013,,,,
2014,Mnt,Jun,147,1/1/2014,,,,
2015,Mnt,Jun,1833,1/1/2015,,,,
2016,Mnt,Jun,531,1/1/2016,,,,
2017,Mnt,Jun,5649,1/1/2017,,,,
2018,Mnt,Jun,338,1/1/2018,,,,
2019,Mnt,Jun,164,1/1/2019,,,,
2010,Mnt,Jul,456,1/1/2010,,,,
2011,Mnt,Jul,15,1/1/2011,,,,
2012,Mnt,Jul,108,1/1/2012,,,,
2013,Mnt,Jul,133,1/1/2013,,,,
2014,Mnt,Jul,620,1/1/2014,,,,
2015,Mnt,Jul,2373,1/1/2015,,,,
2016,Mnt,Jul,1847,1/1/2016,,,,
2017,Mnt,Jul,6767,1/1/2017,,,,
2018,Mnt,Jul,91,1/1/2018,,,,
2019,Mnt,Jul,173,1/1/2019,,,,
2010,Mnt,Aug,28,1/1/2010,,,,
2011,Mnt,Aug,164,1/1/2011,,,,
2012,Mnt,Aug,538,1/1/2012,,,,
2013,Mnt,Aug,9,1/1/2013,,,,
2014,Mnt,Aug,320,1/1/2014,,,,
2015,Mnt,Aug,152,1/1/2015,,,,
2016,Mnt,Aug,521,1/1/2016,,,,
2017,Mnt,Aug,589,1/1/2017,,,,
2018,Mnt,Aug,66,1/1/2018,,,,
2019,Mnt,Aug,21,1/1/2019,,,,
2010,Mnt,Sep,920,1/1/2010,,,,
2011,Mnt,Sep,509,1/1/2011,,,,
2012,Mnt,Sep,329,1/1/2012,,,,
2013,Mnt,Sep,174,1/1/2013,,,,
2014,Mnt,Sep,448,1/1/2014,,,,
2015,Mnt,Sep,233,1/1/2015,,,,
2016,Mnt,Sep,59,1/1/2016,,,,
2017,Mnt,Sep,99,1/1/2017,,,,
2018,Mnt,Sep,82,1/1/2018,,,,
2019,Mnt,Sep,663,1/1/2019,,,,
2010,Mnt,Oct,146,1/1/2010,,,,
2011,Mnt,Oct,1605,1/1/2011,,,,
2012,Mnt,Oct,989,1/1/2012,,,,
2013,Mnt,Oct,2496,1/1/2013,,,,
2014,Mnt,Oct,3798,1/1/2014,,,,
2015,Mnt,Oct,1186,1/1/2015,,,,
2016,Mnt,Oct,168,1/1/2016,,,,
2017,Mnt,Oct,406,1/1/2017,,,,
2018,Mnt,Oct,342,1/1/2018,,,,
2019,Mnt,Oct,144,1/1/2019,,,,
2010,Mnt,Nov,32,1/1/2010,,,,
2011,Mnt,Nov,36,1/1/2011,,,,
2012,Mnt,Nov,150,1/1/2012,,,,
2013,Mnt,Nov,288,1/1/2013,,,,
2014,Mnt,Nov,308,1/1/2014,,,,
2015,Mnt,Nov,270,1/1/2015,,,,
2016,Mnt,Nov,0,1/1/2016,,,,
2017,Mnt,Nov,42,1/1/2017,,,,
2018,Mnt,Nov,57,1/1/2018,,,,
2019,Mnt,Nov,67,1/1/2019,,,,
2010,Mnt,Dec,0,1/1/2010,,,,
2011,Mnt,Dec,21,1/1/2011,,,,
2012,Mnt,Dec,0,1/1/2012,,,,
2013,Mnt,Dec,24,1/1/2013,,,,
2014,Mnt,Dec,0,1/1/2014,,,,
2015,Mnt,Dec,0,1/1/2015,,,,
2016,Mnt,Dec,0,1/1/2016,,,,
2017,Mnt,Dec,0,1/1/2017,,,,
2018,Mnt,Dec,0,1/1/2018,,,,
2019,Mnt,Dec,22,1/1/2019,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
