year,state,month,number,date
2010,Acre,Jan,0,1/1/2010
2011,Acre,Jan,0,1/1/2011
2012,Acre,Jan,0,1/1/2012
2013,Acre,Jan,0,1/1/2013
2014,Acre,Jan,0,1/1/2014
2015,Acre,Jan,0,1/1/2015
2016,Acre,Jan,0,1/1/2016
2017,Acre,Jan,0,1/1/2017
2018,Acre,Jan,0,1/1/2018
2019,Acre,Jan,0,1/1/2019
2010,Acre,Feb,0,1/1/2010
2011,Acre,Feb,0,1/1/2011
2012,Acre,Feb,6,1/1/2012
2013,Acre,Feb,0,1/1/2013
2014,Acre,Feb,9,1/1/2014
2015,Acre,Feb,74,1/1/2015
2016,Acre,Feb,0,1/1/2016
2017,Acre,Feb,0,1/1/2017
2018,Acre,Feb,0,1/1/2018
2019,Acre,Feb,33,1/1/2019
2010,Acre,Mar,0,1/1/2010
2011,Acre,Mar,356,1/1/2011
2012,Acre,Mar,358,1/1/2012
2013,Acre,Mar,12,1/1/2013
2014,Acre,Mar,2686,1/1/2014
2015,Acre,Mar,4600,1/1/2015
2016,Acre,Mar,225,1/1/2016
2017,Acre,Mar,0,1/1/2017
2018,Acre,Mar,975,1/1/2018
2019,Acre,Mar,270,1/1/2019
2010,Acre,Apr,494,1/1/2010
2011,Acre,Apr,5165,1/1/2011
2012,Acre,Apr,10827,1/1/2012
2013,Acre,Apr,1712,1/1/2013
2014,Acre,Apr,2609,1/1/2014
2015,Acre,Apr,14841,1/1/2015
2016,Acre,Apr,1062,1/1/2016
2017,Acre,Apr,1451,1/1/2017
2018,Acre,Apr,435,1/1/2018
2019,Acre,Apr,2457,1/1/2019
2010,Acre,May,2392,1/1/2010
2011,Acre,May,1288,1/1/2011
2012,Acre,May,22378,1/1/2012
2013,Acre,May,5016,1/1/2013
2014,Acre,May,198,1/1/2014
2015,Acre,May,3629,1/1/2015
2016,Acre,May,1837,1/1/2016
2017,Acre,May,1047,1/1/2017
2018,Acre,May,900,1/1/2018
2019,Acre,May,1637,1/1/2019
2010,Acre,Jun,1813,1/1/2010
2011,Acre,Jun,5089,1/1/2011
2012,Acre,Jun,1323,1/1/2012
2013,Acre,Jun,303,1/1/2013
2014,Acre,Jun,147,1/1/2014
2015,Acre,Jun,1833,1/1/2015
2016,Acre,Jun,531,1/1/2016
2017,Acre,Jun,5649,1/1/2017
2018,Acre,Jun,338,1/1/2018
2019,Acre,Jun,164,1/1/2019
2010,Acre,Jul,456,1/1/2010
2011,Acre,Jul,15,1/1/2011
2012,Acre,Jul,108,1/1/2012
2013,Acre,Jul,133,1/1/2013
2014,Acre,Jul,620,1/1/2014
2015,Acre,Jul,2373,1/1/2015
2016,Acre,Jul,1847,1/1/2016
2017,Acre,Jul,6767,1/1/2017
2018,Acre,Jul,91,1/1/2018
2019,Acre,Jul,173,1/1/2019
2010,Acre,Aug,28,1/1/2010
2011,Acre,Aug,164,1/1/2011
2012,Acre,Aug,538,1/1/2012
2013,Acre,Aug,9,1/1/2013
2014,Acre,Aug,320,1/1/2014
2015,Acre,Aug,152,1/1/2015
2016,Acre,Aug,521,1/1/2016
2017,Acre,Aug,589,1/1/2017
2018,Acre,Aug,66,1/1/2018
2019,Acre,Aug,21,1/1/2019
2010,Acre,Sep,920,1/1/2010
2011,Acre,Sep,509,1/1/2011
2012,Acre,Sep,329,1/1/2012
2013,Acre,Sep,174,1/1/2013
2014,Acre,Sep,448,1/1/2014
2015,Acre,Sep,233,1/1/2015
2016,Acre,Sep,59,1/1/2016
2017,Acre,Sep,99,1/1/2017
2018,Acre,Sep,82,1/1/2018
2019,Acre,Sep,663,1/1/2019
2010,Acre,Oct,146,1/1/2010
2011,Acre,Oct,1605,1/1/2011
2012,Acre,Oct,989,1/1/2012
2013,Acre,Oct,2496,1/1/2013
2014,Acre,Oct,3798,1/1/2014
2015,Acre,Oct,1186,1/1/2015
2016,Acre,Oct,168,1/1/2016
2017,Acre,Oct,406,1/1/2017
2018,Acre,Oct,342,1/1/2018
2019,Acre,Oct,144,1/1/2019
2010,Acre,Nov,32,1/1/2010
2011,Acre,Nov,36,1/1/2011
2012,Acre,Nov,150,1/1/2012
2013,Acre,Nov,288,1/1/2013
2014,Acre,Nov,308,1/1/2014
2015,Acre,Nov,270,1/1/2015
2016,Acre,Nov,0,1/1/2016
2017,Acre,Nov,42,1/1/2017
2018,Acre,Nov,57,1/1/2018
2019,Acre,Nov,67,1/1/2019
2010,Acre,Dec,0,1/1/2010
2011,Acre,Dec,21,1/1/2011
2012,Acre,Dec,0,1/1/2012
2013,Acre,Dec,24,1/1/2013
2014,Acre,Dec,0,1/1/2014
2015,Acre,Dec,0,1/1/2015
2016,Acre,Dec,0,1/1/2016
2017,Acre,Dec,0,1/1/2017
2018,Acre,Dec,0,1/1/2018
2019,Acre,Dec,22,1/1/2019
